,title,author,publisher,page_count,generes,language
887,Boy Erased: A Memoir,Garrard Conley,Penguin,352,"Biography &amp, Autobiography , Literary Figures",English
967,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,Pan Macmillan,112,"Biography &amp, Autobiography , Medical (incl. Patients)",English
982,Ask A Footballer,James Milner,Hachette UK,320,"Biography &amp, Autobiography , Sports",English
289,Summary: Think and Grow Rich,Nine99 Innovation Lab,Nine99 Innovation Lab (OPC) Pvt Ltd,14,"Business & Economics , Accounting , General",English
81,Summary: The Compound Effect,Nine99 Innovation Lab,Nine99 Innovation Lab (OPC) Pvt Ltd,7,"Business & Economics , Mentoring & Coaching",English
686,"Financial Statements, Revised and Expanded Edition: A Step-by-Step Guide to Understanding and Creating Financial Reports",Thomas Ittelson,Red Wheel/Weiser,288,"Business &amp, Economics , Accounting , Financial",English
863,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,AMACOM,320,"Business &amp, Economics , Budgeting",English
560,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,AMACOM,240,"Business &amp, Economics , Conflict Resolution &amp, Mediation",English
124,How to Understand Business Finance: Edition 2,Bob Cinnamon,Kogan Page Publishers,176,"Business &amp, Economics , Corporate Finance , General",English
600,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Harper Collins,336,"Business &amp, Economics , Economics , Theory",English
443,Principles: Life and Work,Ray Dalio,Simon and Schuster,592,"Business &amp, Economics , General",English
414,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,Simon and Schuster,592,"Business &amp, Economics , Industries , General",English
964,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,Harper Collins,320,"Business &amp, Economics , Management",English
300,Marketing (The Brian Tracy Success Library),Brian Tracy,AMACOM,112,"Business &amp, Economics , Marketing , General",English
319,How to Win Friends and Influence People,Dale Carnegie,Random House,304,"Business &amp, Economics , Motivational",English
174,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",Harper Collins,336,"Business &amp, Economics , Motivational",English
840,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,Harper Collins,224,"Business &amp, Economics , Motivational",English
772,The Infinite Game,Simon Sinek,Penguin,272,"Business &amp, Economics , Motivational",English
1254,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,W. W. Norton & Company,256,"Business &amp, Economics , New Business Enterprises",English
998,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Random House,416,"Business &amp, Economics , Organizational Behavior",English
883,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,Hachette UK,30,"Business &amp, Economics , Personal Finance , Budgeting",English
959,"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,Random House,368,"Business &amp, Economics , Personal Finance , General",English
1263,Rework,Jason Fried,Currency,288,"Business &amp, Economics , Personal Success",English
1202,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition: Edition 4",William J. O'Neil,McGraw Hill Professional,464,"Business &amp, Economics , Public Finance",English
513,HR from the Outside In: Six Competencies for the Future of Human Resources,David Ulrich,McGraw Hill Professional,272,"Business &amp, Economics , Training",English
181,My Little Pony: Friendship is Magic #83,Thom Zahler,IDW Publishing,30,"Comics & Graphic Novels , Fantasy",English
332,My Little Pony: The Feats of Friendship #2,Ian Flynn,IDW Publishing,30,"Comics & Graphic Novels , Fantasy",English
114,My Little Pony: Friendship is Magic #45,Thom Zahler,IDW Publishing,31,"Comics & Graphic Novels , General",English
850,The Last of Us: American Dreams #1,Faith Erin Hicks,Dark Horse Comics (Single Issues),26,"Comics & Graphic Novels , General",English
1101,The Umbrella Academy: Apocalypse Suite #1,Gerard Way,Dark Horse Comics (Single Issues),23,"Comics & Graphic Novels , General",English
804,The Witcher #1,Paul Tobin,Dark Horse Comics (Single Issues),24,"Comics & Graphic Novels , General",English
997,The Witcher #5,Paul Tobin,Dark Horse Comics (Single Issues),24,"Comics & Graphic Novels , General",English
1257,The Walking Dead #185,Robert Kirkman,Image Comics,56,"Comics & Graphic Novels , Horror",English
1078,Sonic the Hedgehog #18,Ian Flynn,IDW Publishing,36,"Comics & Graphic Novels , Science Fiction",English
326,Sonic the Hedgehog #22,Ian Flynn,IDW Publishing,34,"Comics & Graphic Novels , Science Fiction",English
1064,Sonic the Hedgehog #3,Ian Flynn,IDW Publishing,32,"Comics & Graphic Novels , Science Fiction",English
1098,Sonic: Tangle & Whisper #3,Ian Flynn,IDW Publishing,30,"Comics & Graphic Novels , Science Fiction",English
98,Team Sonic Racing Plus Deluxe Turbo Championship Edition one-shot,Caleb Goellner,IDW Publishing,52,"Comics & Graphic Novels , Science Fiction",English
1235,Deadpool Team-Up Vol. 1: Good Buddies,Fred Van Lente,Marvel Entertainment,9.78E+12,"Comics & Graphic Novels , Superheroes",English
1044,Invincible #118,Robert Kirkman,Image Comics,32,"Comics & Graphic Novels , Superheroes",English
547,"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,Marvel Entertainment,136,"Comics &amp, Graphic Novels , Superheroes",English
397,Civil War: Volume 1,Mark Millar,Marvel Entertainment,208,"Comics &amp, Graphic Novels , Superheroes",English
1035,Deadpool Kills the Marvel Universe,Cullen Bunn,Marvel Entertainment,96,"Comics &amp, Graphic Novels , Superheroes",English
910,Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,Marvel Entertainment,128,"Comics &amp, Graphic Novels , Superheroes",English
861,Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,Marvel Entertainment,160,"Comics &amp, Graphic Novels , Superheroes",English
47,Spider-Man: Kraven's Last Hunt,J. M. DeMatteis,Marvel Entertainment,168,"Comics &amp, Graphic Novels , Superheroes",English
393,Spider-Verse: Volume 1,Dan Slott,Marvel Entertainment,624,"Comics &amp, Graphic Novels , Superheroes",English
1132,The Punisher Vol. 1: Black and White,Natahan Edmondson,Marvel Entertainment,136,"Comics &amp, Graphic Novels , Superheroes",English
336,Young Justice Vol. 1,Art Baltazar,DC,164,"Comics &amp, Graphic Novels , Superheroes",English
69,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,Springer Science & Business Media,404,"Computers , Electronic Commerce",English
346,Martha Stewart's Cookie Perfection: 100+ Recipes to Take Your Sweet Treats to the Next Level: A Baking Book,Editors of Martha Stewart Living,Clarkson Potter,256,"Cooking , Methods , Baking",English
82,Moby Dick. Illustrated edition,Melville Herman,Strelbytskyy Multimedia Publishing,771,"Fiction , Action & Adventure",English
1161,A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,Bantam,1040,"Fiction , Action &amp, Adventure",English
576,Thrawn (Star Wars),Timothy Zahn,Del Rey,448,"Fiction , Action &amp, Adventure",English
1026,And Then There Were None,Agatha Christie,HarperCollins UK,224,"Fiction , Classics",English
848,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,HarperCollins UK,416,"Fiction , Classics",English
533,Final Option: 'The best one yet',Clive Cussler,Penguin UK,400,"Fiction , Crime",English
1109,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,Hachette UK,416,"Fiction , Crime",English
606,Darksiders: The Abomination Vault: A Novel,Ari Marmell,Del Rey,368,"Fiction , Fairy Tales, Folk Tales, Legends &amp, Mythology",English
400,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,HarperCollins UK,1216,"Fiction , Fairy Tales, Folk Tales, Legends &amp, Mythology",English
